image_id,pack_name,image_path,true_label,ai_top1,ai_score_top1,ai_top2,ai_score_top2,ai_top3,ai_score_top3,all_scores_json,options_json,difficulty,approved,notes
objects_adrian-regeci-SAS0lq2QGLs-unsplash,objects,data/packs/objects/images/adrian-regeci-SAS0lq2QGLs-unsplash.jpg,,headphones,0.9903243214065779,speaker,0.006811041652614732,microphone,0.0023397153815237523,"{""headphones"": {""text"": ""headphones"", ""raw_score"": -1.9149723052978516, ""probability"": 0.9903243214065779}, ""speaker"": {""text"": ""speaker"", ""raw_score"": -6.8944597244262695, ""probability"": 0.006811041652614732}, ""microphone"": {""text"": ""microphone"", ""raw_score"": -7.96297550201416, ""probability"": 0.0023397153815237523}, ""remote_control"": {""text"": ""remote control"", ""raw_score"": -9.828064918518066, ""probability"": 0.0003623806405487712}, ""game_controller"": {""text"": ""game controller"", ""raw_score"": -11.266366958618164, ""probability"": 8.600394028940046e-05}, ""camera"": {""text"": ""camera"", ""raw_score"": -11.382986068725586, ""probability"": 7.653697844548213e-05}}","[""game_controller"", ""speaker"", ""microphone"", ""headphones""]",easy,FALSE,
objects_adrian-regeci-fvQ_M0kCg9U-unsplash,objects,data/packs/objects/images/adrian-regeci-fvQ_M0kCg9U-unsplash.jpg,,headphones,0.9617506959293952,speaker,0.021296711405081343,microphone,0.009321064521007743,"{""headphones"": {""text"": ""headphones"", ""raw_score"": -2.8563451766967773, ""probability"": 0.9617506959293952}, ""speaker"": {""text"": ""speaker"", ""raw_score"": -6.666547775268555, ""probability"": 0.021296711405081343}, ""microphone"": {""text"": ""microphone"", ""raw_score"": -7.492823600769043, ""probability"": 0.009321064521007743}, ""game_controller"": {""text"": ""game controller"", ""raw_score"": -8.226223945617676, ""probability"": 0.00447665670363935}, ""remote_control"": {""text"": ""remote control"", ""raw_score"": -8.729482650756836, ""probability"": 0.002706395812377258}, ""camera"": {""text"": ""camera"", ""raw_score"": -10.52700138092041, ""probability"": 0.00044847562849907726}}","[""camera"", ""headphones"", ""microphone"", ""speaker""]",easy,FALSE,
objects_alan-quirvan-igcMIwAVAS4-unsplash,objects,data/packs/objects/images/alan-quirvan-igcMIwAVAS4-unsplash.jpg,,microphone,0.9275835781503328,speaker,0.03410868124735084,remote_control,0.020984930745330196,"{""microphone"": {""text"": ""microphone"", ""raw_score"": -2.728250503540039, ""probability"": 0.9275835781503328}, ""speaker"": {""text"": ""speaker"", ""raw_score"": -6.031281471252441, ""probability"": 0.03410868124735084}, ""remote_control"": {""text"": ""remote control"", ""raw_score"": -6.51702880859375, ""probability"": 0.020984930745330196}, ""headphones"": {""text"": ""headphones"", ""raw_score"": -6.955571174621582, ""probability"": 0.013534774068726399}, ""game_controller"": {""text"": ""game controller"", ""raw_score"": -8.418181419372559, ""probability"": 0.0031350715155507203}, ""camera"": {""text"": ""camera"", ""raw_score"": -9.987066268920898, ""probability"": 0.0006529642727092565}}","[""speaker"", ""remote_control"", ""microphone"", ""game_controller""]",easy,FALSE,
objects_amr-taha-6VjuO4aw19c-unsplash,objects,data/packs/objects/images/amr-taha-6VjuO4aw19c-unsplash.jpg,microphone,microphone,0.580320935102183,headphones,0.2348555520526248,speaker,0.1571307075248183,"{""microphone"": {""text"": ""microphone"", ""raw_score"": -4.476737976074219, ""probability"": 0.580320935102183}, ""headphones"": {""text"": ""headphones"", ""raw_score"": -5.381348609924316, ""probability"": 0.2348555520526248}, ""speaker"": {""text"": ""speaker"", ""raw_score"": -5.783241271972656, ""probability"": 0.1571307075248183}, ""game_controller"": {""text"": ""game controller"", ""raw_score"": -8.538722038269043, ""probability"": 0.009990126194817973}, ""remote_control"": {""text"": ""remote control"", ""raw_score"": -8.652151107788086, ""probability"": 0.00891886017339754}, ""camera"": {""text"": ""camera"", ""raw_score"": -8.667407989501953, ""probability"": 0.008783818952158344}}","[""camera"", ""microphone"", ""speaker"", ""headphones""]",medium,TRUE,
objects_andres-perez-Kch8BSBI6FM-unsplash,objects,data/packs/objects/images/andres-perez-Kch8BSBI6FM-unsplash.jpg,,microphone,0.7171172414815822,speaker,0.1364958567009005,camera,0.12947902220583682,"{""microphone"": {""text"": ""microphone"", ""raw_score"": -5.617524147033691, ""probability"": 0.7171172414815822}, ""speaker"": {""text"": ""speaker"", ""raw_score"": -7.2764692306518555, ""probability"": 0.1364958567009005}, ""camera"": {""text"": ""camera"", ""raw_score"": -7.329244613647461, ""probability"": 0.12947902220583682}, ""headphones"": {""text"": ""headphones"", ""raw_score"": -9.452384948730469, ""probability"": 0.015492848684202348}, ""remote_control"": {""text"": ""remote control"", ""raw_score"": -11.861373901367188, ""probability"": 0.00139290234689583}, ""game_controller"": {""text"": ""game controller"", ""raw_score"": -16.00364875793457, ""probability"": 2.2128580582204778e-05}}","[""camera"", ""speaker"", ""microphone"", ""game_controller""]",easy,FALSE,
objects_anna-keibalo-zczFCpKyTNc-unsplash,objects,data/packs/objects/images/anna-keibalo-zczFCpKyTNc-unsplash.jpg,,headphones,0.997476429211127,speaker,0.0015823692412463407,microphone,0.0005324769115009373,"{""headphones"": {""text"": ""headphones"", ""raw_score"": -1.0570459365844727, ""probability"": 0.997476429211127}, ""speaker"": {""text"": ""speaker"", ""raw_score"": -7.503351211547852, ""probability"": 0.0015823692412463407}, ""microphone"": {""text"": ""microphone"", ""raw_score"": -8.592490196228027, ""probability"": 0.0005324769115009373}, ""remote_control"": {""text"": ""remote control"", ""raw_score"": -9.091156005859375, ""probability"": 0.00032339475487793383}, ""game_controller"": {""text"": ""game controller"", ""raw_score"": -11.0580415725708, ""probability"": 4.5240294530060735e-05}, ""camera"": {""text"": ""camera"", ""raw_score"": -11.178913116455078, ""probability"": 4.008958671746383e-05}}","[""microphone"", ""speaker"", ""game_controller"", ""headphones""]",easy,FALSE,
objects_annie-spratt-Y4i4CIkpkCk-unsplash,objects,data/packs/objects/images/annie-spratt-Y4i4CIkpkCk-unsplash.jpg,,camera,0.9951130331503026,remote_control,0.0021372787062327934,speaker,0.001750019687792549,"{""camera"": {""text"": ""camera"", ""raw_score"": -1.0578012466430664, ""probability"": 0.9951130331503026}, ""remote_control"": {""text"": ""remote control"", ""raw_score"": -7.20112419128418, ""probability"": 0.0021372787062327934}, ""speaker"": {""text"": ""speaker"", ""raw_score"": -7.401030540466309, ""probability"": 0.001750019687792549}, ""game_controller"": {""text"": ""game controller"", ""raw_score"": -8.911947250366211, ""probability"": 0.00038624257592517893}, ""microphone"": {""text"": ""microphone"", ""raw_score"": -9.10456657409668, ""probability"": 0.00031857129094612453}, ""headphones"": {""text"": ""headphones"", ""raw_score"": -9.181930541992188, ""probability"": 0.0002948545888007219}}","[""speaker"", ""microphone"", ""camera"", ""remote_control""]",easy,FALSE,
objects_annie-spratt-stns9xH_X3g-unsplash,objects,data/packs/objects/images/annie-spratt-stns9xH_X3g-unsplash.jpg,,camera,0.9974427929706039,speaker,0.001537091663156862,remote_control,0.0005605120200857861,"{""camera"": {""text"": ""camera"", ""raw_score"": -1.3504180908203125, ""probability"": 0.9974427929706039}, ""speaker"": {""text"": ""speaker"", ""raw_score"": -7.82572078704834, ""probability"": 0.001537091663156862}, ""remote_control"": {""text"": ""remote control"", ""raw_score"": -8.834517478942871, ""probability"": 0.0005605120200857861}, ""headphones"": {""text"": ""headphones"", ""raw_score"": -9.70317268371582, ""probability"": 0.00023514338636042032}, ""game_controller"": {""text"": ""game controller"", ""raw_score"": -10.26127815246582, ""probability"": 0.00013457074071531152}, ""microphone"": {""text"": ""microphone"", ""raw_score"": -10.664790153503418, ""probability"": 8.988921907752127e-05}}","[""remote_control"", ""speaker"", ""camera"", ""headphones""]",easy,FALSE,
objects_antonio-rodriguez-tlba95b69YQ-unsplash,objects,data/packs/objects/images/antonio-rodriguez-tlba95b69YQ-unsplash.jpg,,microphone,0.9779945278370109,speaker,0.019280778336167526,headphones,0.0026105543866972347,"{""microphone"": {""text"": ""microphone"", ""raw_score"": -0.20381546020507812, ""probability"": 0.9779945278370109}, ""speaker"": {""text"": ""speaker"", ""raw_score"": -4.130210876464844, ""probability"": 0.019280778336167526}, ""headphones"": {""text"": ""headphones"", ""raw_score"": -6.129756927490234, ""probability"": 0.0026105543866972347}, ""camera"": {""text"": ""camera"", ""raw_score"": -9.823578834533691, ""probability"": 6.494209192898384e-05}, ""remote_control"": {""text"": ""remote control"", ""raw_score"": -10.462135314941406, ""probability"": 3.429293989452439e-05}, ""game_controller"": {""text"": ""game controller"", ""raw_score"": -11.295417785644531, ""probability"": 1.4904408300730506e-05}}","[""remote_control"", ""speaker"", ""headphones"", ""microphone""]",easy,TRUE,
objects_aqqib-maula-mrdozzYee74-unsplash,objects,data/packs/objects/images/aqqib-maula-mrdozzYee74-unsplash.jpg,,headphones,0.6872703440574237,speaker,0.24547691876551372,microphone,0.02620856096821886,"{""headphones"": {""text"": ""headphones"", ""raw_score"": -4.093134880065918, ""probability"": 0.6872703440574237}, ""speaker"": {""text"": ""speaker"", ""raw_score"": -5.122659683227539, ""probability"": 0.24547691876551372}, ""microphone"": {""text"": ""microphone"", ""raw_score"": -7.359776496887207, ""probability"": 0.02620856096821886}, ""game_controller"": {""text"": ""game controller"", ""raw_score"": -7.7866363525390625, ""probability"": 0.017102527442722944}, ""remote_control"": {""text"": ""remote control"", ""raw_score"": -7.808100700378418, ""probability"": 0.016739344530579906}, ""camera"": {""text"": ""camera"", ""raw_score"": -8.651461601257324, ""probability"": 0.007202304235540877}}","[""microphone"", ""speaker"", ""headphones"", ""game_controller""]",easy,TRUE,
